ID,default_payment_next_month
10178,0.14939954306622957
5304,0.09555328677501125
5187,0.09297718474643206
14495,0.08930126378435864
20444,0.08649898807870376
17667,0.09445064527789797
21211,0.156781148503595
7178,0.42946726677390634
20783,0.07794780461327838
24033,0.32544330425946016
754,0.08586166605735734
23732,0.15772081732572046
6072,0.08056224217391578
17662,0.28990950727923487
5541,0.22793533992926918
22697,0.1895274880983543
29905,0.12581871992958196
6695,0.2161715272032192
12664,0.5364244821155495
15392,0.06126858345290945
309,0.6709263833710972
16129,0.08905445454777838
6324,0.10176879490310337
23673,0.3259176942150466
28889,0.12294217350073104
17687,0.11130666862436751
27129,0.12410535705851998
8487,0.07335779681499334
10304,0.24446557627038668
14991,0.15480678128098388
8380,0.08864164391182035
17401,0.18649263302326577
15805,0.11659027826386321
17839,0.22036478125166611
24324,0.26690837811115165
5925,0.7527388206543303
11137,0.10743160150454593
9991,0.07023252622148352
6622,0.6412996683257043
17112,0.47723194172219446
7694,0.21181285034291827
23055,0.19391118211318803
19684,0.20357313321397916
26520,0.3491567877652008
8633,0.5006604840698102
15602,0.11003118636266347
21244,0.10326636728988497
9804,0.2920023516930463
24276,0.07453978756286143
11723,0.06024359501097711
23656,0.3175200849925102
9047,0.1510378808394996
9246,0.1118787039106199
650,0.4279712845994477
4330,0.16153553920039362
27006,0.41185838591467755
6766,0.0703904846003084
14481,0.1648976528254227
18262,0.19787486282072086
22076,0.16196531419466464
24238,0.2091838120674765
12731,0.1591451377293953
2226,0.10594498674349546
17380,0.31442763868018236
22072,0.0887523352750459
27390,0.14526012650791345
19619,0.038981431669434824
12919,0.13325569707664467
6537,0.16126020125446008
24342,0.6894675381601338
772,0.2763870807654389
12966,0.10028013780748161
18832,0.12579859787617462
9347,0.2387163202414916
29171,0.448103103107619
18604,0.15459845885008267
25368,0.12458259861913451
14414,0.24240403936801488
4515,0.14059616289783236
27668,0.1282882619466412
20039,0.09728081908077775
28604,0.6977333994639072
19283,0.11308931300895693
29592,0.2534985028313039
5952,0.2198125224192298
14746,0.22668970002552014
8135,0.641014846426577
936,0.16123770656419123
15106,0.1935627360427591
13717,0.30393421909182744
15431,0.14039189585309456
12176,0.06075959000401471
26616,0.5995667723106649
6585,0.0812963794752566
13415,0.17205903408242562
28033,0.6745839955109796
18775,0.04826960688045686
22414,0.3044694621148775
13628,0.4785657661161405
4437,0.3374519076411116
14083,0.21380144909805346
6745,0.33118876130847913
11214,0.19409256672044925
1200,0.2059242038558747
24915,0.0425753878180189
15317,0.5821756807968614
25130,0.10304208916971387
21497,0.03546311584913966
2432,0.3681059711280608
4312,0.23621766772568517
3390,0.4814479890429837
20785,0.06088626924520139
12516,0.1820816313995642
17228,0.09918301620880476
1845,0.21540089459234943
13834,0.175853187849065
2290,0.17857306765762057
21988,0.18529581174910412
10445,0.2544645680059803
11991,0.19642523173059492
6818,0.06465600274707335
19525,0.09848226850619267
12878,0.2195328028446021
15762,0.15646309025741348
21397,0.07872050107480456
13127,0.06723929124089904
25072,0.6375512458010245
3227,0.04910541297344818
7260,0.1428938121046265
4366,0.0841826473336781
2185,0.17812398460086867
14132,0.13127798758593315
10094,0.1709243990782999
6815,0.10469849489354162
10788,0.13082082524132696
7364,0.1117016785482381
28316,0.0959200558199579
23427,0.7183878702445524
21496,0.17640148693170557
4802,0.5488914427296939
23522,0.14794137919348785
28206,0.1725074563554662
21212,0.09117279540881267
12017,0.17213205617004465
3081,0.13784506512613345
20225,0.5123729511415157
23735,0.06109260252477289
28396,0.11871561598422525
12618,0.11091550052955886
21897,0.2727701022433677
26866,0.5515996820296688
16713,0.18114710378347576
3319,0.6305410683838494
1177,0.1647198008445152
3511,0.1679199988043978
29192,0.03834873282045904
3229,0.1445753854225723
28167,0.14409618536800342
17445,0.3201056387628004
13853,0.05495507641164501
26977,0.055091787306019796
16572,0.5378835578129647
4969,0.15420420819503233
10276,0.046832446645253954
18699,0.2264895864996208
24230,0.7238786875336443
14127,0.04961991720176662
15285,0.09538148533339463
9057,0.17905585600780094
314,0.37655335485166597
7726,0.29285771305852987
5723,0.1277905493809606
9072,0.08005415558413824
14107,0.211390188433185
145,0.16499947530088668
24423,0.6436828372140435
22725,0.8663714581551076
20076,0.03661821729597853
8284,0.16775109759770312
8913,0.11928508696316116
6326,0.1735580162968109
13918,0.03659636047829371
2020,0.6683288000028872
8805,0.18948112247463944
18822,0.6178744183249535
20055,0.2200867846232548
1254,0.10315695058601837
10785,0.7864835874125428
18392,0.07036231522972636
6679,0.21150451480544966
2433,0.6441349834354141
17303,0.07831663147382244
23846,0.11494873361638147
12631,0.12761964105355553
16250,0.2171009605263338
26577,0.18138963444328673
18831,0.10268641157308982
14697,0.11236523054982465
20765,0.20589716233209754
26177,0.045800287237881966
29311,0.15102116802148224
24408,0.1339680644057493
6383,0.33533120032432034
20685,0.6819735230825784
3809,0.09746551204188185
21273,0.17610186130175318
18934,0.07550434799521126
14851,0.08703778204090436
15039,0.12203619716976462
28924,0.09092636182190422
20323,0.34150769898279926
4159,0.18825080870314423
23311,0.5516204462598918
18500,0.1738850801465213
12312,0.04641050145149548
5176,0.054697565816402914
29809,0.09783092033426206
8224,0.5888046887255639
26644,0.8035164563016673
21569,0.6608483450051358
3908,0.5470014969633805
14974,0.8066026483026271
19720,0.047220164963888915
13244,0.3824274179172378
18037,0.07783219466608819
29716,0.4627267508332988
6784,0.5650640363665356
3110,0.08377730640440335
26797,0.07256113933333568
29080,0.15382437708313565
19229,0.15219695231362962
16329,0.18832772632860992
13004,0.08212162051978379
25354,0.3754847641964687
7464,0.11151838730734426
7911,0.06049844394933762
15409,0.08716957584108692
20893,0.603464798327695
10835,0.12594050640853763
21892,0.5292788703567329
25921,0.061724646895749025
26056,0.1750743943266613
26809,0.12387069366284187
13321,0.14409532632542588
17387,0.6123945810205608
